[0.000000] (-) TimerEvent: {}
[0.001108] (-) JobUnselected: {'identifier': 'examples_rclcpp_async_client'}
[0.001501] (-) JobUnselected: {'identifier': 'examples_rclcpp_cbg_executor'}
[0.002655] (-) JobUnselected: {'identifier': 'examples_rclcpp_minimal_action_client'}
[0.002792] (-) JobUnselected: {'identifier': 'examples_rclcpp_minimal_action_server'}
[0.002875] (-) JobUnselected: {'identifier': 'examples_rclcpp_minimal_client'}
[0.002910] (-) JobUnselected: {'identifier': 'examples_rclcpp_minimal_composition'}
[0.002990] (-) JobUnselected: {'identifier': 'examples_rclcpp_minimal_publisher'}
[0.003027] (-) JobUnselected: {'identifier': 'examples_rclcpp_minimal_service'}
[0.003065] (-) JobUnselected: {'identifier': 'examples_rclcpp_minimal_subscriber'}
[0.003143] (-) JobUnselected: {'identifier': 'examples_rclcpp_minimal_timer'}
[0.003223] (-) JobUnselected: {'identifier': 'examples_rclcpp_multithreaded_executor'}
[0.003350] (-) JobUnselected: {'identifier': 'examples_rclcpp_wait_set'}
[0.003433] (-) JobUnselected: {'identifier': 'examples_rclpy_executors'}
[0.003682] (-) JobUnselected: {'identifier': 'examples_rclpy_guard_conditions'}
[0.003780] (-) JobUnselected: {'identifier': 'examples_rclpy_minimal_action_client'}
[0.003818] (-) JobUnselected: {'identifier': 'examples_rclpy_minimal_action_server'}
[0.003896] (-) JobUnselected: {'identifier': 'examples_rclpy_minimal_client'}
[0.003933] (-) JobUnselected: {'identifier': 'examples_rclpy_minimal_publisher'}
[0.004659] (-) JobUnselected: {'identifier': 'examples_rclpy_minimal_service'}
[0.004732] (-) JobUnselected: {'identifier': 'examples_rclpy_minimal_subscriber'}
[0.004766] (-) JobUnselected: {'identifier': 'examples_rclpy_pointcloud_publisher'}
[0.004795] (-) JobUnselected: {'identifier': 'intro_interfaces'}
[0.004823] (-) JobUnselected: {'identifier': 'launch_testing_examples'}
[0.004851] (-) JobUnselected: {'identifier': 'turtle_test'}
[0.004880] (-) EventReactorShutdown: {}
